Name,Address,Operation Hour,Latitude,Longitude
Subway Ikon Connaught,"Ikon Connaught, G-02A & Alfresco GA-02A, Ground Floor, Jalan Cerdas, Taman Connaught, Kuala Lumpur, 56100","Monday - Sunday, 10:00 AM - 8:00 PM",3.081465,101.731419
Subway Atria,"Atria Shopping Gallery, Lot C11, Jalan SS 22/23, Damansara Jaya, Petaling Jaya, 47400","Monday - Sunday, 10:00 AM - 10:00 PM",3.127096,101.616518
Subway SS3,"Jalan SS3/39, Ground Floor, Unit 16, Bangunan PJ21, Petaling Jaya, 47300","Monday - Saturday, 8:00 AM – 10:00PM,Sunday, 8:00 AM – 9:00PM",3.090677,101.614668
Subway Ativo Plaza,"Ativo Plaza, #1 Jalan PJU 9/1, Damansara Ave, B-G-2, Block B, Bandar Sri Damansara, Kuala Lumpur, 52200","Monday - Saturday, 8:30 AM – 10:00PM,Sunday, 8:30 AM – 9:30PM",3.196263,101.616271
Subway Quill City (LG),"Quill City Mall, LG-02, No. 1018, Jalan Sultan Ismail, Kuala Lumpur , 50250","Monday - Sunday, 10:00 AM - 10:00 PM",3.159488,101.700170
Subway Centro Mall,"Centro Mall, G13, No. 8, Jalan Batu Tiga Lama, Kawasan 16, Klang, 41300","Monday - Sunday, 8:30 AM - 10:00 PM",3.052870,101.462789
Subway Sunway U,"No. 27 Jalan PJS 11/9, Bandar Sunway, Petaling Jaya, 46150","Monday - Sunday, 9:00 AM - 8:00 PM",3.067818,101.603107
Subway KLIA2 (A),"Gateway@ KLIA2, L2-119, Terminal KLIA2,KL Intl Airport, Jalan KLIA 2/1, Sepang, 64000","Monday - Sunday, 9:00 AM - 8:00 PM",2.744089,101.685639
Subway Kota Damansara,"15-1, Jalan PJU 5/6, Dataran Sunway, Kota Damansara, Petaling Jaya, 47810","Monday - Sunday, 8:00 AM - 8:00 PM",3.153206,101.594907
Subway I-City,"i-City, City Park A-5-G, Jalan Multimedia 7/A, Shah Alam, 40000","Monday - Friday, 10:30 AM – 10:30PM,Saturday & Sunday, 11:00 AM – 10:30PM",3.065016,101.482803
Subway OUG,"A1-07 Jalan 1/52, Taman OUG Parklane Off Jalan Klang Lama 58200 Kuala Lumpur","Monday - Sunday, 9:00 AM - 10:00 PM",3.074779,101.661593
Subway Aeon Bukit Raja,"Aeon Bukit Raja Shopping Ctr, C9, Persiaran Bukit Raja 2, Bandar Baru Klang, Klang, 41150","Monday - Sunday, 10:00 AM - 10:00 PM",3.060881,101.472268
Subway Petronas Kesas,"Petronas Station, Lebuhraya Kesas Arah Barat KM34.5, Lebuhraya Kesas, 40000 Shah Alam, Selangor","Monday - Saturday, 7:30 AM – 10:00PM,Sunday, 8:00 AM – 10:00PM",3.050101,101.563370
Subway Sri Petaling,"No. 53, Jalan Radin Bagus, 57000 Sri Petaling, Kuala Lumpur","Monday - Sunday, 8:00 AM - 10:00 PM",3.070392,101.695026
Subway Puncak Jalil,"116 Jalan PUJ 3/2,Taman Puncak Jalil, Bandar Putra Permai,Seri Kembangan, 63300","Monday - Sunday, 9:00 AM - 10:00 PM",3.020222,101.675020
Subway Aeon Alpha Angle,"AEON Alpha Angle Shopping Ctr, Lot F37A, Jalan R1, Seksyen 1, Bandar Baru Wangsa Maju, Kuala Lumpur, 53300","Monday - Sunday, 10:00 AM - 10:00 PM",3.201844,101.731845
Subway My Town,"Lot B1-07 & B1-08, Level Basement 1, MyTOWN Shopping Centre, Jalan Cochrane, Seksyen 90, Kuala Lumpur, 55100","Monday - Sunday, 10:00 AM - 10:00 PM",3.134863,101.722843
Subway D Pulze,"LG-03a, Lower Ground Floor, Dpulze Shopping Centre, Lingkaran Cyber Point Timur, Cyber 12, 63000 Cyberjaya, Selangor Darul Ehsan","Monday - Sunday, 10:00 AM - 8:00 PM",2.922055,101.650968
Subway Utropolis,"G-B2a, Utropolis Marketplace, Jalan Kontracktor U1/14, Seksyen U1, 40150 Shah Alam, Selangor","Monday - Sunday, 8:30 AM - 9:00 PM",3.090114,101.559864
Subway Great Eastern Mall,"Great Eastern Mall, Lot 4C Lower Ground Floor, No 303 Jalan Ampang, Kuala Lumpur, 50450","Monday - Friday, 8:30 AM – 8:30PM,Saturday & Sunday, 9:30 AM – 8:30PM",3.160073,101.736901
Subway NU Sentral,"L4.13, Level Four, NU Sentral, No. 201 Jalan Tun Sambanthan, Kuala Lumpur, 50470","Monday - Sunday, 9:00 AM - 9:00 PM",3.133075,101.687034
Subway East Coast Mall,"GF08C, Jln Putra Square 6,East Coast Mall, 25200,Kuantan, Pahang","Monday - Sunday, 10:00 AM - 10:00 PM",3.818357,103.326243
Subway IOI City Mall,"IOI City Mall, Lebuh IRC, IOI Resort City, 62502 Putrajaya, Malaysia","Monday - Sunday, 10:00 AM - 9:00 PM",2.970663,101.713668
Subway Sunway Putra,"Lot 4-60 & 4-79A, Fourth Floor, Sunway Putra Mall, No. 100, Jalan Putra, 50350 Kuala Lumpur","Monday - Sunday, 10:00 AM - 10:00 PM",3.166426,101.692419
Subway Teluk Chempedak,"No. 69, Shoplex TreeUnder Teluk Chempedak Beach, 25050 Kuantan Pahang","Monday - Sunday, 8:00 AM - 10:00 PM",3.812313,103.371154
Subway Sunway Pinnacle,"M-01, Mezzanine Floor, The Pinnacle, Persiaran Lagoon, Bandar Sunway, 46150 Petaling Jaya, Selangor","Monday - Friday, 8:00 AM – 8:00PM,Saturday, 9:00 AM – 6:00PM,Sunday, Closed",3.070182,101.610049
Subway Melawati Mall,"L3-22, Third Floor, Melawati Mall, UP2-01, Melawati Mall, 355, Jalan Bandar Melawati, Pusat Bandar Melawati, 53100 Kuala Lumpur","Monday - Sunday, 10:00 AM - 10:00 PM",3.211379,101.748677
Subway Sunway Medical,"Sunway Medical Centre, Ground Floor,No. 5, Jalan Lagoon Selatan, 47500 Selangor","Monday - Sunday, 8:00 AM - 8:00 PM",3.066085,101.608626
Subway Taman Melati,"No. 71-G Jalan Melati Utama 4, Taman Melati Utama, 53100 Setapak, Kuala Lumpur","Monday - Sunday, 7:30 AM - 10:00 PM",3.222755,101.731182
Subway Shell Melati,"PT 5729, Batu 6 1/2, Ulu Gombak, 68100 Gombak. Selangor","Monday - Sunday, 8:30 AM - 6:00 PM",3.235291,101.723508
Subway Shell Karak,"PT 5946, Lebuhraya Karak, 68100 Gombak, Selangor","Monday - Sunday, 8:30 AM - 10:30 PM",3.241128,101.716156
Subway Bukit Jalil,"Level 1 Axiata Arena, KL Sport City, Bukit Jalil, 57000, Kuala Lumpur","Monday - Sunday, 9:00 AM - 10:00 PM",3.053815,101.693434
Subway Sentul Sky Awani,"Ground Floor , Unit No. G-11, Residensi Awani, Sky Awani, No. 27 Jalan Sentul Perdana 51100, Kuala Lumpur","Monday - Sunday, 8:00 AM - 10:00 PM",3.209174,101.691372
Subway Evo Mall,"G.07, Seksyen 9, Bandar Baru Bangi, 43650 Selangor","Monday - Sunday, 10:00 AM - 10:00 PM",2.962721,101.753783
Subway Damansara Perdana,"D-S-G-01, Metropolitan Square, Jalan PJU 8/1, Damansara Perdana, Petaling Jaya, 47820, Selangor","Monday - Friday, 8:00 AM – 10:00PM,Saturday & Sunday, 8:00 AM – 9:30PM",3.166098,101.607914
Subway Pearl Point,"Lot No. 1.0.69 (Ground Floor), Pearl Point Shopping Mall, Batu 5, Jalan Klang Lama, 58000 Kuala Lumpur",Monday - Sunday (9:00AM - 10:00PM),3.083153,101.669445
Subway Gurney Mall (UTMKL),"Lot 1-03, Level 1, Residensi UTMKL, No 8 Jalan Maktab, 54000 Kuala Lumpur","Tuesday – Sunday, 10:00 AM – 9:30PM,Monday, 8:00 AM – 9:30PM",3.171561,101.721805
Subway KLTS,"45-G, Plaza KLTS, Block C, Jalan Gombak, 53000 Kuala Lumpur","Monday - Sunday, 9:00 AM - 9:30 PM",3.204075,101.703480
Subway Jaya One,"100-P2.015, Level 2, Block J, The School Jaya One, No.72A Jalan Prof Diraja Ungku Aziz, 46200 Petaling Jaya, Selangor","Monday - Sunday, 10:30 AM - 9:00 PM",3.117373,101.635064
Subway Petronas Grand Saga 3,"Lot 432, Lebuhraya Grand Saga, (Kajang Bound)  43300, Kajang, Selangor",,3.025706,101.771637
Subway Bandar Rimbayu,"No 43, Jalan Flora 2/2, Bandar Rimbayu, 42500 Telok Panglima Garang, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",2.933245,101.547994
Subway Sungai Buloh,"2390, Jalan 1A-1, Bdr Baru Sg Buloh, Seksyen U20, 40610 Shah Alam, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",3.210350,101.564883
Subway Subang Parade,"LGC17, Lower Ground Floor, Subang Parade Shopping Centre, Jalan Kemajuan Subang, Ss 16, 47500 Subang Jaya, Selangor","Monday - Sunday, 9:00 AM - 10:00 PM",3.081489,101.585103
Subway Temerloh,"No 19, Jalan Sudirman 2,Bandar Temerloh,28000 Temerloh, Pahang","Monday - Sunday, 9:30 AM - 10:30 PM",3.449613,102.415563
Subway Setia City Mall,"LG-078, Lower Ground Floor, Setia City Mall, Bandar Setia Alam, 40170 Shah Alam, Selangor","Monday - Sunday, 10:00 AM - 10:00 PM",3.109469,101.460218
Subway KL East Mall,"LG 37  , Lower Ground Floor, KL East Mall, 823 Jalan Lingkaran Tengah 2, KL Timur, 53100 Kuala Lumpur","Sunday – Thursday, 10:00 AM – 8:00PM,Friday & Saturday, 9:00 AM – 8:00PM",3.224754,101.730533
Subway Bandar Sri Permaisuri,"Lot R-G-07, Ground Floor Q Avenue, Kompleks Permaisuri Q, No.6,Jalan Sri Permaisuri, Bandar Sri Permaisuri, Cheras 56000 Kuala Lumpur","Monday - Sunday, 10:00 AM - 9:00 PM",3.101187,101.711708
Subway Bukit Mahkota,"No 12, Jalan Seri Putra 1/25, Bandar Seri Putra, 43000 Kajang, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",2.886468,101.791289
Subway Mahkota Cheras,"32G, Jalan Temenggung 1/9, Bandar Mahkota Cheras, 43200 Cheras, Selangor","Monday - Sunday, 10:00 AM - 11:00 PM",3.050916,101.789313
Subway Eco Grandeur,"19, Ruang Niaga Eco Grandeur, Persiaran Mokhtar Dahari,42300 Bandar Puncak Alam,Selangor Darul Ehsan.","Monday - Sunday, 8:00 AM - 10:00 PM",3.225739,101.456014
Subway KLCC,"Lot F208, Second Floor, Suria KLCC, Jalan Ampang, Golden, 50088 Kuala Lumpur","Monday - Sunday, 10:00 AM - 10:00 PM",3.159186,101.712392
Subway Banting,"No 7G Ground Floor, Jalan Cemerlang 1A, Pusat Perdagangan Banting, 42700 Banting, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",2.812757,101.508583
Subway Bentong,"P10-G, Jalan MG1, Pusat Perniagaan Mutiara Gemilang, 28700 Bentong, Malaysia","Monday - Sunday, 8:00 AM - 10:00 PM",3.538956,101.901818
Subway Kuala Selangor,"No G-2 (Ground Floor), Jalan Bendahara 1A, Taman Bendahara, 45000 Kuala Selangor, Selangor.","Monday - Sunday, 8:00 AM - 10:00 PM",3.322146,101.266424
Subway Sri Serdang,"No 11 Jalan 18/34 Taman Sri Serdang, Seri Kembangan 43300 Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",3.008624,101.713288
Subway Alam Budiman,27G Jalan Pulau Lumut P U/10 P Taman Alam Budiman 40150 Shah Alam,"Monday - Sunday, 9:30 AM - 10:00 PM",3.144571,101.481360
Subway Kepong,"91, Jalan Metro Barat Perdana 1, Taman Usahawan Kepong, 52100 Kuala Lumpur","Monday - Sunday, 8:00 AM - 8:30 PM",3.214719,101.639538
Subway Damansara Damai,"G001, Seasons Square, Jalan Pju 10/3C, Damansara Damai, 47830  Petaling Jaya, Selangor","Monday - Sunday, 7:30 AM - 10:00 PM",3.195960,101.592210
Subway Shell Salak Tinggi,"Lot 343, Jalan Bukit Changgang-Nilai, Bandar Baru Salak Tinggi, 43900 Sepang, Selangor.",Monday - Sunday (8:00AM - 10:00PM),2.805323,101.723729
Subway Kidzania KL,"Kidzania Kuala Lumpur, Lot 11, Lower Ground Curve NX, No.18 Jalan PJU 7/5, 47810 Mutiara Damansara, Petaling Jaya Selangor",Mon - Sun : 10am-6pmTues : Close,3.158034,101.613800
Subway Eco Majestic,"1-3A Blok 1, Jalan Eco Majestic 10/1, Eco Majestic, 43500 Semenyih Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",2.898997,101.833205
Subway BTHO,"No 5A, Ground Floor, Jalan Suarasa 8/3 Bandar Tun Hussien Onn, 43200 Cheras, Selangor Darul Ehsan","Monday - Sunday, 7:30 AM - 10:00 PM",3.046735,101.760650
Subway Thomson Hospital,"GF-Unit 1109-3, 11 Jalan Teknologi PJU 5, 47810 Kota Damansara, Petaling Jaya, Selangor","Monday - Friday, 8:00 AM – 9:00PM,Saturday & Sunday, 9:00 AM – 7:00PM",3.149023,101.578800
Subway BHP Jalan Kuching,"BHPetrol Jalan Kuching, Lot PT 4283 & Lot 6086 Jalan Kuching, 52100 Kuala Lumpur.","Monday - Sunday, 7:30 AM - 10:00 PM",3.188440,101.670158
Subway Hero Puchong,"Lot No G-13 , Hero Puchong, Lot 1, Jalan Puteri 1/1 , 43200 Puchong, Selangor.","Monday - Sunday, 9:00 AM - 9:00 PM",3.025863,101.618133
Subway Southville City,"Lot E4-G-2 Block E Savanna Boulevard Retail Jalan BBLS 2, Bandar Baru Lembah Selatan 43800 Dengkil Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",2.904341,101.764470
Subway Setia Taipan,"No 58-G Jalan Setia Utama  As U13/As, Bandar Setia Alam, 40170 Shah Alam, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",3.125382,101.468570
